game,port,player
34,5003,Chinese
34,5000,Russians
34,5001,Italians
34,5002,Germans
35,5002,Germans
35,5000,Russians
35,5001,Italians
35,5003,Chinese
36,5003,Chinese
36,5000,Russians
36,5002,Germans
36,5001,Italians
37,5000,Russians
37,5003,Chinese
37,5002,Germans
37,5001,Italians
38,5002,Germans
38,5000,Russians
38,5003,Chinese
38,5001,Italians
39,5001,Italians
39,5000,Russians
39,5002,Germans
39,5003,Chinese
40,5001,Italians
40,5003,Chinese
40,5000,Russians
40,5002,Germans
41,5002,Germans
41,5001,Italians
41,5000,Russians
41,5003,Chinese
42,5000,Russians
42,5003,Chinese
42,5002,Germans
42,5001,Italians
43,5003,Chinese
43,5000,Russians
43,5001,Italians
43,5002,Germans
44,5003,Chinese
44,5001,Italians
44,5002,Germans
44,5000,Russians
45,5001,Italians
45,5003,Chinese
45,5000,Russians
45,5002,Germans
46,5003,Chinese
46,5002,Germans
46,5001,Italians
46,5000,Russians
47,5003,Chinese
47,5001,Italians
47,5002,Germans
47,5000,Russians
48,5001,Italians
48,5002,Germans
48,5000,Russians
48,5003,Chinese
49,5001,Italians
49,5002,Germans
49,5003,Chinese
49,5000,Russians
50,5000,Russians
50,5002,Germans
50,5001,Italians
50,5003,Chinese
51,5000,Russians
51,5003,Chinese
51,5001,Italians
51,5002,Germans
52,5001,Italians
52,5000,Russians
52,5003,Chinese
52,5002,Germans
53,5003,Chinese
53,5001,Italians
53,5002,Germans
53,5000,Russians
54,5003,Chinese
54,5000,Russians
54,5002,Germans
54,5001,Italians
55,5000,Russians
55,5001,Italians
55,5003,Chinese
55,5002,Germans
56,5001,Italians
56,5002,Germans
56,5000,Russians
56,5003,Chinese
57,5003,Chinese
57,5002,Germans
57,5001,Italians
57,5000,Russians
58,5002,Germans
58,5003,Chinese
58,5000,Russians
58,5001,Italians
59,5000,Russians
59,5002,Germans
59,5003,Chinese
59,5001,Italians
60,5002,Germans
60,5001,Italians
60,5003,Chinese
60,5000,Russians
61,5000,Russians
61,5003,Chinese
61,5002,Germans
61,5001,Italians
62,5003,Chinese
62,5000,Russians
62,5002,Germans
62,5001,Italians
63,5000,Russians
63,5002,Germans
63,5001,Italians
63,5003,Chinese
64,5003,Chinese
64,5002,Germans
64,5000,Russians
64,5001,Italians
65,5003,Chinese
65,5001,Italians
65,5000,Russians
65,5002,Germans
66,5000,Russians
66,5001,Italians
66,5003,Chinese
66,5002,Germans
67,5000,Russians
67,5003,Chinese
67,5001,Italians
67,5002,Germans
68,5003,Chinese
68,5002,Germans
68,5000,Russians
68,5001,Italians
69,5003,Chinese
69,5001,Italians
69,5002,Germans
69,5000,Russians
70,5001,Italians
70,5002,Germans
70,5000,Russians
70,5003,Chinese
71,5002,Germans
71,5001,Italians
71,5000,Russians
71,5003,Chinese
72,5003,Chinese
72,5002,Germans
72,5001,Italians
72,5000,Russians
73,5002,Germans
73,5001,Italians
73,5003,Chinese
73,5000,Russians
74,5001,Italians
74,5002,Germans
74,5000,Russians
74,5003,Chinese
75,5001,Italians
75,5002,Germans
75,5000,Russians
75,5003,Chinese
76,5001,Italians
76,5002,Germans
76,5000,Russians
76,5003,Chinese
77,5000,Russians
77,5001,Italians
77,5003,Chinese
77,5002,Germans
78,5002,Germans
78,5001,Italians
78,5000,Russians
78,5003,Chinese
79,5003,Chinese
79,5002,Germans
79,5000,Russians
79,5001,Italians
80,5003,Chinese
80,5000,Russians
80,5001,Italians
80,5002,Germans
81,5003,Chinese
81,5000,Russians
81,5002,Germans
81,5001,Italians
82,5000,Russians
82,5002,Germans
82,5003,Chinese
82,5001,Italians
83,5000,Russians
83,5003,Chinese
83,5002,Germans
83,5001,Italians
84,5001,Italians
84,5000,Russians
84,5003,Chinese
84,5002,Germans
85,5000,Russians
85,5002,Germans
85,5001,Italians
85,5003,Chinese
86,5003,Chinese
86,5000,Russians
86,5002,Germans
86,5001,Italians
87,5000,Russians
87,5002,Germans
87,5003,Chinese
87,5001,Italians
88,5003,Chinese
88,5001,Italians
88,5000,Russians
88,5002,Germans
89,5003,Chinese
89,5000,Russians
89,5002,Germans
89,5001,Italians
90,5001,Italians
90,5002,Germans
90,5000,Russians
90,5003,Chinese
91,5003,Chinese
91,5000,Russians
91,5002,Germans
91,5001,Italians
92,5003,Chinese
92,5001,Italians
92,5000,Russians
92,5002,Germans
93,5001,Italians
93,5002,Germans
93,5000,Russians
93,5003,Chinese
94,5001,Italians
94,5002,Germans
94,5000,Russians
94,5003,Chinese
